20220927-223316,  1.4, -3.4, 37.247106, 101.393915,   93.6,  10.9, -27.9
20220927-223316,  1.6, -4.0, 37.247108, 101.393910,   93.7,  10.9, -27.9
20220927-223316,  1.8, -4.5, 37.247110, 101.393906,   94.3,  10.9, -27.9
20220927-223316,  2.0, -5.0, 37.247112, 101.393901,   94.1,  10.9, -27.9
20220927-223316,  2.2, -5.5, 37.247114, 101.393896,   94.2,  10.9, -27.9
20220927-223316,  2.4, -6.1, 37.247116, 101.393891,   93.9,  10.9, -27.9
20220927-223316,  2.6, -6.6, 37.247118, 101.393886,   94.4,  10.9, -27.9
20220927-223316,  2.8, -7.2, 37.247120, 101.393881,   94.7,  10.9, -27.9
20220927-223316,  3.0, -7.7, 37.247122, 101.393876,   95.0,  10.9, -27.9
20220927-223316,  3.3, -8.4, 37.247124, 101.393871,   94.9,  10.9, -27.9
20220927-223316,  3.5, -8.9, 37.247126, 101.393866,   94.9,  10.9, -27.9
20220927-223316,  3.7, -9.4, 37.247128, 101.393861,   94.5,  10.9, -27.9
20220927-223316,  3.9, -10.0, 37.247129, 101.393856,   94.5,  10.9, -27.9
20220927-223316,  4.1, -10.5, 37.247131, 101.393852,   94.1,  10.9, -28.0
20220927-223316,  4.3, -11.0, 37.247133, 101.393847,   94.2,  10.9, -28.0
20220927-223316,  4.5, -11.6, 37.247135, 101.393842,   94.3,  10.9, -28.0
20220927-223316,  4.7, -12.1, 37.247137, 101.393837,   94.2,  10.9, -28.0
20220927-223316,  5.0, -12.6, 37.247139, 101.393832,   94.2,  10.9, -28.0
20220927-223316,  5.2, -13.2, 37.247141, 101.393828,   94.4,  10.9, -28.0
20220927-223316,  5.4, -13.7, 37.247143, 101.393823,   94.7,  10.9, -28.0
20220927-223316,  5.6, -14.2, 37.247144, 101.393818,   94.6,  10.9, -28.0
20220927-223316,  5.8, -14.8, 37.247146, 101.393813,   95.0,  10.9, -28.0
20220927-223316,  6.0, -15.3, 37.247148, 101.393808,   94.6,  10.9, -28.0
20220927-223316,  6.2, -15.8, 37.247150, 101.393804,   94.8,  10.9, -28.0
20220927-223316,  6.4, -16.4, 37.247152, 101.393799,   94.6,  10.9, -28.0
20220927-223316,  6.6, -16.9, 37.247154, 101.393794,   95.3,  10.9, -28.0
20220927-223317,  6.8, -17.4, 37.247156, 101.393789,   95.9,  10.9, -28.0
20220927-223317,  7.0, -18.0, 37.247158, 101.393784,   95.7,  10.9, -28.0
20220927-223317,  7.2, -18.5, 37.247159, 101.393779,   95.3,  10.9, -28.0
20220927-223317,  7.5, -19.1, 37.247161, 101.393775,   94.7,  10.9, -28.0
20220927-223317,  7.7, -19.6, 37.247163, 101.393770,   94.7,  10.9, -28.1
20220927-223317,  7.9, -20.1, 37.247165, 101.393765,   95.0,  10.9, -28.1
20220927-223317,  8.1, -20.7, 37.247167, 101.393760,   94.9,  10.9, -28.1
20220927-223317,  8.3, -21.2, 37.247169, 101.393755,   94.5,  10.9, -28.1
20220927-223317,  8.5, -21.7, 37.247171, 101.393751,   94.4,  10.9, -28.1
20220927-223317,  8.7, -22.3, 37.247173, 101.393746,   94.7,  10.9, -28.1
20220927-223317,  8.9, -22.8, 37.247174, 101.393741,   95.1,  10.9, -28.1
